"X","t","mean","lower","upper","variable","date"
1,1,0.00764452554603087,0.0058370542687315,0.0100761773225846,"Pt","2021-09-09"
2,2,0.00755271365766119,0.00597807997293408,0.00943956967155868,"Pt","2021-09-10"
3,3,0.00747488794759289,0.0061263480647192,0.00893021290034261,"Pt","2021-09-11"
4,4,0.00741395470979225,0.00626939388792101,0.00863496874820755,"Pt","2021-09-12"
5,5,0.00737277241032508,0.00635389474395412,0.0084854997836027,"Pt","2021-09-13"
6,6,0.00735419371703267,0.00645271251540958,0.00834202437013559,"Pt","2021-09-14"
7,7,0.00736023160108147,0.00654205122078181,0.00830306550984533,"Pt","2021-09-15"
8,8,0.00738960565393926,0.00658725555404876,0.00827824459808852,"Pt","2021-09-16"
9,9,0.00744060151196755,0.00659626363515683,0.00830302914465038,"Pt","2021-09-17"
10,10,0.0075115724301156,0.00665932224090264,0.00839528921287175,"Pt","2021-09-18"
11,11,0.00760083416310255,0.00672117950567681,0.00853749102326759,"Pt","2021-09-19"
12,12,0.00770722359063291,0.00680589934927731,0.00869034160321053,"Pt","2021-09-20"
13,13,0.00783109551144909,0.00690685193514319,0.00883710114512529,"Pt","2021-09-21"
14,14,0.00797316560711225,0.00700571331097694,0.00898103448451785,"Pt","2021-09-22"
15,15,0.00813409087974066,0.00713080151356149,0.00922013333770191,"Pt","2021-09-23"
16,16,0.00831447937106748,0.00721868133172946,0.00949856988815167,"Pt","2021-09-24"
17,17,0.00851539555730071,0.00734671607538014,0.00979647025505734,"Pt","2021-09-25"
18,18,0.008738921346961,0.007403321282513,0.0102306425875941,"Pt","2021-09-26"
19,19,0.0089872662964423,0.00748232062768081,0.0106793499544853,"Pt","2021-09-27"
20,20,0.00926244100619559,0.00751067243359772,0.0111551125225206,"Pt","2021-09-28"
21,21,0.00956630086595622,0.00758604617494256,0.0116499842059395,"Pt","2021-09-29"
22,22,0.00990004627753438,0.00769285531648506,0.0123707084369552,"Pt","2021-09-30"
23,23,0.0102631240636022,0.00778830428984582,0.0130892540241004,"Pt","2021-10-01"
24,24,0.0106541275367972,0.00797501564263798,0.0139057338484023,"Pt","2021-10-02"
25,25,0.011070658768291,0.00817937523080845,0.0147675174900636,"Pt","2021-10-03"
26,26,0.0115093062346584,0.00832109896036374,0.0155677807398058,"Pt","2021-10-04"
27,27,0.0119662349561149,0.00858304243458105,0.0162649939430609,"Pt","2021-10-05"
28,28,0.0124376067938083,0.00881415181795054,0.0168412949425929,"Pt","2021-10-06"
29,29,0.0129187124113239,0.00906996515113925,0.0174803995665481,"Pt","2021-10-07"
30,30,0.0134034471617789,0.00937394712864141,0.0184328976741211,"Pt","2021-10-08"
31,31,0.0138842563078994,0.00966420206536721,0.0190566218837357,"Pt","2021-10-09"
32,32,0.0143535695635324,0.00999438175261523,0.0196123931643272,"Pt","2021-10-10"
33,33,0.0148050386172801,0.0104676732011101,0.0199559393343104,"Pt","2021-10-11"
34,34,0.0152317869653688,0.0111152005432884,0.0202706512170558,"Pt","2021-10-12"
